N fonctionnalité;THEME;Date Fait;Demande 1;Demande 2;Demande 3;Demande 4;Résultat 1;Résultat 2;Résultat 3;Résultat 4;Paramètre Modifié;Ecran/Impression;Type;Ticket;Version
17630;COLLECTIF;23/05/2024;Fichier de liaison VALOPHIS. Possibilité de saisir le libellé des codes interventions et/ou retour;;;;MENU LES COLLECTIFS- Liaison - Choix VALOPHIS - Bouton Correspondances Codes;;;;N;Ecran;Nouveauté;27029;2024_05_15
17628;STOCK;22/05/2024;La suppression en lot des mouvements voiture est désormais archivée;;;;MENU LE STOCK - Article - Bouton Stock Voiture - Bouton Historique - Bouton Données Archivées;;;;N;Ecran;Nouveauté;;2024_05_15
17629;STOCK;22/05/2024;La suppression en lot des commandes est désormais archivée;;;;MENU LE STOCK - Commande - Bouton Commandes Archivées;;;;N;Ecran;Nouveauté;;2024_05_15
17631;CLIENT;17/05/2024;Stockage des différents test de turbidité;;;;FICHE CLIENT - Onglet Appareils;;;;N;Ecran;Nouveauté;27029;2024_05_15
17627;PERSONNEL;03/05/2024;Possibilité de réserver des types d'intervention par techncien, par date et par période;Si des interventions ont été réservées, lors de la création/modification intervention le système produira une alerte ou blocage si le code intervention saisi;n'est pas dans ces réservations.;;PARAMETRES GENERAUX  - Intervention - Onglet Saisie 2;;;;O;Ecran;Nouveauté;26460;2024_05_01
17626;STOCK;02/05/2024;Possibilité de modifier le prix d'achat d'une fourniture dans Facture/Devis;Possibilité pour une réference, une famille, une sous-famille, une marque;Cocher Modif Prix Achat Facture/Devis dans la fiche Article, Famille, Sous-Famille, Marque (STOCK-Constructeur-Onglet Divers);;MENU STOCK - Article - FICHE ARTICLE - Onglet Généralités - Cocher Modif Prix Achat Facture/Devis;MENU FICHIERS - GENERAUX - Onglet Divers 1 - Onglet Fournitures - Onglet Famille - Cocher Modif Prix Achat Facture/Devis;MENU FICHIERS - GENERAUX - Onglet Divers 1 - Onglet Fournitures - Onglet Sous Famille - Cocher Modif Prix Achat Facture/Devis;MENU STOCK - Constructeur - Onglet Divers - Cocher Modif Prix Achat Facture/Devis;N;Ecran;Nouveauté;;2024_05_01
17625;STOCK;01/05/2024;Possibilité de modifier le prix d'achat d'une fourniture dans Facture/Devis;;;;PARAMETRES AUTORISATIONS - Onglet Facture;;;;O;Ecran;Nouveauté;;2024_05_01
17613;DIVERS;23/04/2024;Pour les SMS envoyés en masse pour les interventions;Possibilité de bloquer l'envoi pour un Type de technicien, une Equipe ou Autre;;;MENU Les Fichiers - Personnel - Bouton Equipe ou Bouton Type ou Bouton Autre;;;;N;Ecran;Nouveauté;26487;2024_04_15
17614;INTERVENTION;23/04/2024;Si client absent, possibilité de changer le statut, la durée et noter dans les observations client absent;;;;PARAMETRES GENERAUX - Intervention - Onglet Saisie 4;;;;O;Ecran;Nouveauté;26486;2024_04_15
17616;INTERVENTION;23/04/2024;Ajouter Renouvellement à prendre pour les clients individuels sous-contrat avec une date de renouvellement dépassée.;;;;PARAMETRES GENERAUX - Intervention - Onglet Saisie 4;;;;O;Ecran;Nouveauté;26466;2024_04_15
